topology_id,capability_id,display_name,category_id,registered,implemented,support_status,required_fields,default_fields,plugin_hooks,boundary_notes
buck_diode_rectified_unidirectional,buck_diode,Buck Diode,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
buck_synchronous_rectified_unidirectional,sync_buck,Synchronous Buck,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
boost_diode_rectified_unidirectional,boost_preview,Boost,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
boost_synchronous_rectified_unidirectional,sync_boost,Synchronous Boost,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
buck_boost_diode_rectified_unidirectional,buck_boost_diode,Buck-Boost Diode,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,This topology is treated as inverting; verify output polarity.
four_switch_buck_boost_simplified_four_mode,four_switch_buck_boost,Four-Switch Buck-Boost,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c;duty_clamp;transition_band_ratio,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c;duty_clamp;transition_band_ratio,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
three_level_tzcm_fixed_frequency,three_level_tzcm,Three-Level TZCM,dc_dc,True,True,first-pass,vin_nom_v;vout_v;pout_w;fsw_hz;izvs;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,izvs;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
llc_resonant_converter_diode_rectifier,llc_diode,LLC Diode,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fs_min_hz;fs_max_hz;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,FHA-based isolated LLC first-pass path; verify resonant-tank and insulation margins.
llc_resonant_converter_synchronous_rectifier,llc_synchronous_rectifier,LLC Synchronous Rectifier,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fs_min_hz;fs_max_hz;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c;secondary_rectifier_type;primary_switch_device_type;primary_switch_manufacturer;secondary_sync_switch_device_type;secondary_sync_switch_manufacturer;synchronous_rectifier_timing_mode,ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c;secondary_rectifier_type;primary_switch_device_type;primary_switch_manufacturer;secondary_sync_switch_device_type;secondary_sync_switch_manufacturer;synchronous_rectifier_timing_mode,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
flyback_diode_rectified_isolated,flyback_diode,Flyback Diode,dc_dc,True,True,first-pass,vin_min_v;vin_nom_v;vin_max_v;vout_v;pout_w;fsw_hz;ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c;target_duty;turns_ratio_ns_np;rectifier_diode_drop_v;clamp_spike_margin_v;flyback_mode,ripple_current_ratio;ripple_voltage_ratio_percent;ambient_temp_c;target_junction_temp_c;target_duty;turns_ratio_ns_np;rectifier_diode_drop_v;clamp_spike_margin_v;flyback_mode,build_spec;synthesize;generate_waveforms;extract_stress;evaluate;build_report,
