request_directory,topology_id,source_topology_id,target_topology_id,source_display_name,target_display_name,source_module_path,target_module_path,source_legacy_key,target_legacy_key,category_id,implemented,shared_plugin_variant,variant_primary_bridge_type,variant_secondary_rectifier_type,registry_metadata_match
01_buck_diode,buck_diode_rectified_unidirectional,buck_diode_rectified_unidirectional,buck_diode_rectified_unidirectional,Buck Diode Rectified Unidirectional,Buck Diode Rectified Unidirectional,pe_claw_gui.topologies.dc_dc.buck_diode_rectified_unidirectional,pe_claw_gui.topologies.dc_dc.buck_diode_rectified_unidirectional,Buck_CCM_DiodeRectified_Unidirectional,Buck_CCM_DiodeRectified_Unidirectional,dc_dc,True,False,,,True
02_buck_synchronous,buck_synchronous_rectified_unidirectional,buck_synchronous_rectified_unidirectional,buck_synchronous_rectified_unidirectional,Buck Synchronous Rectified Unidirectional,Buck Synchronous Rectified Unidirectional,pe_claw_gui.topologies.dc_dc.buck_synchronous_rectified_unidirectional,pe_claw_gui.topologies.dc_dc.buck_synchronous_rectified_unidirectional,Buck_SynchronousRectified_Unidirectional,Buck_SynchronousRectified_Unidirectional,dc_dc,True,False,,,True
03_boost_diode,boost_diode_rectified_unidirectional,boost_diode_rectified_unidirectional,boost_diode_rectified_unidirectional,Boost Diode Rectified Unidirectional,Boost Diode Rectified Unidirectional,pe_claw_gui.topologies.dc_dc.boost_diode_rectified_unidirectional,pe_claw_gui.topologies.dc_dc.boost_diode_rectified_unidirectional,Boost_DiodeRectified_Unidirectional,Boost_DiodeRectified_Unidirectional,dc_dc,True,False,,,True
04_boost_synchronous,boost_synchronous_rectified_unidirectional,boost_synchronous_rectified_unidirectional,boost_synchronous_rectified_unidirectional,Boost Synchronous Rectified Unidirectional,Boost Synchronous Rectified Unidirectional,pe_claw_gui.topologies.dc_dc.boost_synchronous_rectified_unidirectional,pe_claw_gui.topologies.dc_dc.boost_synchronous_rectified_unidirectional,Boost_SynchronousRectified_Unidirectional,Boost_SynchronousRectified_Unidirectional,dc_dc,True,False,,,True
05_buck_boost_diode,buck_boost_diode_rectified_unidirectional,buck_boost_diode_rectified_unidirectional,buck_boost_diode_rectified_unidirectional,Buck-Boost Diode Rectified Unidirectional,Buck-Boost Diode Rectified Unidirectional,pe_claw_gui.topologies.dc_dc.buck_boost_diode_rectified_unidirectional,pe_claw_gui.topologies.dc_dc.buck_boost_diode_rectified_unidirectional,BuckBoost_DiodeRectified_Unidirectional,BuckBoost_DiodeRectified_Unidirectional,dc_dc,True,False,,,True
06_flyback_ccm,flyback_diode_rectified_isolated,flyback_diode_rectified_isolated,flyback_diode_rectified_isolated,Flyback Diode Rectified Isolated,Flyback Diode Rectified Isolated,pe_claw_gui.topologies.dc_dc.flyback_diode_rectified_isolated,pe_claw_gui.topologies.dc_dc.flyback_diode_rectified_isolated,Flyback_DiodeRectified_Isolated_FirstPass,Flyback_DiodeRectified_Isolated_FirstPass,dc_dc,True,False,,,True
07_psfb_diode,phase_shifted_full_bridge_diode_rectifier_isolated,phase_shifted_full_bridge_diode_rectifier_isolated,phase_shifted_full_bridge_diode_rectifier_isolated,Phase-Shifted Full-Bridge Diode Rectifier Isolated,Phase-Shifted Full-Bridge Diode Rectifier Isolated,pe_claw_gui.topologies.dc_dc.phase_shifted_full_bridge_diode_rectifier_isolated,pe_claw_gui.topologies.dc_dc.phase_shifted_full_bridge_diode_rectifier_isolated,PhaseShiftedFullBridge_DiodeRectifier_Isolated_FirstPass,PhaseShiftedFullBridge_DiodeRectifier_Isolated_FirstPass,dc_dc,True,False,,,True
08_llc_full_bridge_diode,llc_resonant_converter_diode_rectifier,llc_resonant_converter_diode_rectifier,llc_resonant_converter_diode_rectifier,LLC Resonant Converter Diode Rectifier,LLC Resonant Converter Diode Rectifier,pe_claw_gui.topologies.dc_dc.llc_resonant_converter_diode_rectifier,pe_claw_gui.topologies.dc_dc.llc_resonant_converter_diode_rectifier,LLC_ResonantConverter_DiodeRectifier_Placeholder,LLC_ResonantConverter_DiodeRectifier_Placeholder,dc_dc,True,True,full_bridge,full_bridge_rectifier,True
09_llc_half_bridge_diode,llc_resonant_converter_diode_rectifier,llc_resonant_converter_diode_rectifier,llc_resonant_converter_diode_rectifier,LLC Resonant Converter Diode Rectifier,LLC Resonant Converter Diode Rectifier,pe_claw_gui.topologies.dc_dc.llc_resonant_converter_diode_rectifier,pe_claw_gui.topologies.dc_dc.llc_resonant_converter_diode_rectifier,LLC_ResonantConverter_DiodeRectifier_Placeholder,LLC_ResonantConverter_DiodeRectifier_Placeholder,dc_dc,True,True,half_bridge,full_wave_center_tapped_rectifier,True
10_single_phase_capacitor_rectifier,single_phase_diode_bridge_rectifier_capacitor_filter,single_phase_diode_bridge_rectifier_capacitor_filter,single_phase_diode_bridge_rectifier_capacitor_filter,Single-Phase Diode Bridge Rectifier Capacitor Filter,Single-Phase Diode Bridge Rectifier Capacitor Filter,pe_claw_gui.topologies.ac_dc.single_phase_diode_bridge_rectifier_capacitor_filter,pe_claw_gui.topologies.ac_dc.single_phase_diode_bridge_rectifier_capacitor_filter,SinglePhase_DiodeBridgeRectifier_CapacitorFilter,SinglePhase_DiodeBridgeRectifier_CapacitorFilter,ac_dc,True,False,,,True
