status,path,size_bytes,sha256,scope
M,ChangeLog.md,13446,5167f347b16290df3e9ca42e0c96ce9e107b28cce1b55f1417bddfe1dea503f7,ChangeLog.md
A,Plan/active/dc_ac_implementation_migration_plan.md,39333,5c401753c53f81e97172c16f0e0d23b581533019514ce14cf16d040aa7bd0223,Plan
A,migration/evidence/20260827/step10_dc_ac/packaged_gui_runtime_validation.json,1805,fa097e90c760636822b315963002fea5a11163be42ccb50691d58aafd3d0b47b,migration
A,migration/evidence/20260827/step11_dc_ac/changed_file_inventory.csv,0,generated_at_or_after_inventory_write,migration
A,migration/evidence/20260827/step11_dc_ac/dc_ac_acceptance_matrix.csv,783,dffaaa7d068e3458e252e2c0f1984c0f0b59760aaacd5f261862c0a7b0db3642,migration
A,migration/evidence/20260827/step11_dc_ac/final_validation_report.json,0,generated_at_or_after_inventory_write,migration
A,migration/evidence/20260827/step11_dc_ac/final_validation_report.md,0,generated_at_or_after_inventory_write,migration
A,migration/evidence/20260827/step11_dc_ac/source_target_comparison.csv,8973,028e2d3dc8ec471cf21c468cbcde65c7e5b58f55a3351f977975f9994dd37313,migration
A,migration/evidence/20260827/step11_dc_ac/source_target_comparison.json,563,b72a51b5e7bf2a2341739f861d6f814a7b9c1040616a303805106008907022e5,migration
A,migration/evidence/20260827/step9_dc_ac/dc_ac_target_fixtures.json,2858,dde39e5a08d96cd3ad66598a0d1264a62cdf746ebd849f0079cfa8adfcd5bf26,migration
A,migration/phase0/dc_ac_step0_baseline.md,3854,81c3f4c806916095952c16634bee973dcb1269ae3f3af5eb0c804195ef4a29ae,migration
A,migration/phase1/dc_ac_dependency_matrix.csv,17422,a5383b9b92442cd455977516e2e64aae8e4cff5fe57906b836af629d4b4e18b5,migration
A,migration/phase1/dc_ac_dependency_matrix_summary.md,4829,44b4f80951b1a3c0dfc0b5a1c4ac3c94c358c5f0a597c2a3629efa1e23249e0f,migration
M,scripts/backup_weekly.ps1,5140,9752fbd80f52b1771ee2952ac507eb9972c8211d724a5cebe650170f9bc79257,scripts
A,scripts/build_dc_ac_step11_evidence.py,16305,e31e6fceafda4ce2aaf0a4876f81f06ffef9d5b22d3f9eedbe400a5fde257c13,scripts
M,src/pe_claw_gui/app/category_views/dc_ac_page.py,6398,5ea37d4b4e5a773b4565cede7d98b4809f1a98d622c4549476166d3832c9b6de,src
M,src/pe_claw_gui/app/controllers/run_design_controller.py,4891,5779c40772b68cef5f9bfea376588fa71cb67a48b9991acb1c6c47d54f7cc20b,src
A,src/pe_claw_gui/app/result_views/bridge_rectifier_view_helpers.py,670,37de45fb74c3d42cb3c71a71db8980c51e82c0d8a7fa4fb5f7dae4a446fae90e,src
M,src/pe_claw_gui/app/result_views/capacitor_view.py,26069,c0cc6879721cd1a639c13cc24869464848205ef15b101ad3f3b2986cdb525f93,src
M,src/pe_claw_gui/app/result_views/device_view.py,33219,f5009b5a110e8442c0af70295f3f840f7ddc20f1d735260423fa8cc5c262d217,src
M,src/pe_claw_gui/app/result_views/efficiency_view.py,18523,c412f68058c1c14e9f3d45b0d10ac26e9073b5af3c43f0aef435fb8fb1e3810f,src
M,src/pe_claw_gui/app/result_views/hardware_overview_view.py,28823,af6ee90eed536afedbe5a1bf859f8a41a28d2b5a82156d8c5c6c9aa183def0a3,src
M,src/pe_claw_gui/app/result_views/loss_view.py,37701,9d8295589b71e9d6a12164729c570043b266cbfe02523a7cf3a797ffc3e0a285,src
M,src/pe_claw_gui/app/result_views/stress_view.py,5394,7bae1348395df182186c96ba6c11aac90dce063776bf3846403fe179820f1156,src
M,src/pe_claw_gui/app/result_views/summary_view.py,12870,0642187bceff482debaf4643ee33406ef0ac9b54a050f5306920fa1be924667e,src
M,src/pe_claw_gui/app/result_views/waveform_view.py,13392,50d1468c5f2feeff3e6d3e47c40d2f3a2da174e494339d3afaf94b96d3a9b390,src
M,src/pe_claw_gui/app/shell/main_window.py,8232,7b41feb0724187c934520728e3d7665ad2ba6f736bba736c258e494c550be8e4,src
M,src/pe_claw_gui/app/topology_forms/base_form.py,14947,f088683a0c4f01a13c5fb41b9cc05f1fef5e25c60e155d0652249ee41a598dc9,src
M,src/pe_claw_gui/pipeline/run_efficiency_sweep_pipeline.py,49743,d9e1d01a03fd28284b98904b08231c4fdda8b1ca87bd855fd0a60f5547eebbe7,src
M,src/pe_claw_gui/topologies/__init__.py,577,1ce4578049e36fcb6413ecf7bd51520a3083745c81a93b1046e22cb914fbe000,src
