path,action,source_prohibited_terms,target_prohibited_terms,reason
DEVELOPMENT.md,adapt_in_target,,ai_design,Target support file references excluded functionality.
PE_CLAW_AGENTIC_TRANSFORMATION_GUIDE.md,exclude_agentic,pe_claw_gui.agentic;design_request_import;design_request_runner;design_request_parser_bridge,,Path belongs to the excluded AI/agentic/skills scope.
PROJECT_ARCHITECTURE.md,adapt_in_target,,ai_design,Target support file references excluded functionality.
Plan/active/pe_claw_1_0_gui_backend_migration_plan.md,adapt_in_target,,ai_design,Target support file references excluded functionality.
Plan/completed/phase17/phase17_research_package_implementation_plan.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
Plan/completed/phase17/phase17_research_package_kickoff.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
README.md,adapt_in_target,pe_claw_gui.agentic;design_request_runner,ai_design,Target support file references excluded functionality.
design_requests/.gitkeep,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/design_request.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/design_result.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/pe_claw_backend_readback.json,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/runner_readback.json,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/design_request.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/design_result.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/pe_claw_backend_readback.json,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/runner_readback.json,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c03_high_input_full_load/design_request.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c03_high_input_full_load/design_result.md,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c03_high_input_full_load/pe_claw_backend_readback.json,exclude_agentic,,,Path belongs to the excluded AI/agentic/skills scope.
