path,source_exists,target_exists,source_size_bytes,target_size_bytes,source_sha256,target_sha256,same_content,runtime_scope,source_prohibited_terms,target_prohibited_terms,classification,reason
.gitattributes,True,False,233,,21e3d1a8661c8674ea0192519c8278ed530e7a717edbe2f98499573b31bda612,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
.gitignore,True,True,558,114,a7fb3a80e576b5b1a95642acd956e07b1a0b5fc5d4564007a4e3efb0b25f1922,981bbac379e4b5d26353acc51aba89c9403ae0de43f5030443a340af0171af72,False,False,,,keep_from_1_0,Target-owned file is outside the 2.0 runtime copy set.
AGENTS.md,True,False,18913,,fdb1daf5fe5bdca31747b01aba23d5cdfef212e0a17d82005f2791f61d23dac7,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
DEVELOPMENT.md,True,True,7068,3332,cca0dd76356800dcb6c2078d913a6cb84efff13bff4c21207e1de9410041773f,e15507e5978e1ea36e75aea25a8f3424b12a8225d02dca63d2be29ae09cf0291,False,False,,ai_design,adapt_in_target,Target support file references excluded functionality.
LICENSE,True,False,721,,4ca4d7bc9c8dc11ebc35613514154c0d91e58b0cf82b4ce144e1732d6119deb4,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
PE_CLAW_AGENTIC_TRANSFORMATION_GUIDE.md,True,False,70780,,6d8b9ede2169018e6056e2c7bf9cb318a94f8a7e110499293db76744f65ab907,,False,False,pe_claw_gui.agentic;design_request_import;design_request_runner;design_request_parser_bridge,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
PROJECT_ARCHITECTURE.md,True,True,13090,4950,493c8f8b49dfc399b97e997a24d1fc87beeff64861eb227fc70f424eea58abf6,cd5cef38a6aaef93e6ef57b845245fd10bc3e24866bef65e839b81c76d1712f8,False,False,,ai_design,adapt_in_target,Target support file references excluded functionality.
Plan/README.md,True,False,4645,,d7b9b43b2251564dc0a355b973ae8ff831838dac229b4d31df637eebbd4f80f4,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/active/pe_claw_1_0_gui_backend_migration_plan.md,False,True,,31941,,7292421d801dc5f89e4db2774474f7f5500764c83d00f21c0efe3e5bde80d652,False,False,,ai_design,adapt_in_target,Target support file references excluded functionality.
Plan/archive/topology_depth_improvement_queue.md,True,False,4586,,42c2353d9f28e07061d86a2f6b08e58b2cee0eb54bf3d7908b25de0604a75498,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/completed/magnetic_report_and_loss_input_consistency_plan.md,True,False,20404,,be368b2aa821fef64e2f7252740ea35b897e106b8b1b6a864c8f9636f05239ab,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/completed/openmagnetics/openmagnetics_magnetic_loss_modernization_plan.md,True,False,195040,,c0f067d8e7308c062dfebdf9a1b4b02ed3dc9da2184806adf11d20ddabed8b76,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/completed/openmagnetics/openmagnetics_step23_production_validation_plan.md,True,False,18223,,418bce12fec21c656d051c0c1002c06c4a62484b0d45b9ae445252890bf03d44,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/completed/openmagnetics/openmagnetics_step24_production_regression_and_observability_plan.md,True,False,25200,,e49ef7a8477f2e593d602724de2595aacad858c366f72a1c54d9b0eda4d5bf2d,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/completed/openmagnetics/openmagnetics_step25_project_portability_and_packaging_plan.md,True,False,13557,,964370359f9b740eb2a792a9c4793f6955ba4a56881c0ac923734cb0e15fb714,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
Plan/completed/phase17/phase17_research_package_implementation_plan.md,True,False,24571,,14233c62415b851d79bffe5cb4151ee68dcc87d699d44751bbadd90201ad9913,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
Plan/completed/phase17/phase17_research_package_kickoff.md,True,False,4358,,eb7bd28d81aa20b006029bf3391e465f4a522cc3d288fac9ed9921c3781cf83e,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
Project_Description.md,True,True,92174,41522,84760727c66dc6fd9d64cc7f4367a3bbe1a41ac4d090fa494dc30265064a6f4f,99890570e8667b087f1e14d05300a14883fdbcbb7ef4b785920b2415067e8965,False,False,,,keep_from_1_0,Target-owned file is outside the 2.0 runtime copy set.
README.md,True,True,15322,23094,3d85325d91dce8b39fd57c2f30febe0ad8b2f146828df9730e7e859fce7d6a96,7bd04979ac86e79c3f8b35cce9801ed0f9a20add24bbb33c3092122a1af405d7,False,False,pe_claw_gui.agentic;design_request_runner,ai_design,adapt_in_target,Target support file references excluded functionality.
README_Test.md,True,False,2320,,fde18002defedd452739ebc17d51dff32f571216b8a645ce670ed1113f27f210,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
SOUL.md,True,False,5626,,82343b58fce179ca2fd0b6492f5e45cae61404908769b326aa8466f3940d1577,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
USER.md,True,False,4390,,992ea6fb18ed2e810752e9a2eafa209994853d025bec4e653e714f517c9b3bd9,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
configs/.gitkeep,True,False,1,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,,False,False,,,exclude_out_of_scope,Source-only file is outside the deterministic GUI runtime scope.
design_requests/.gitkeep,True,False,1,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/design_request.md,True,False,4698,,ad539e0783fd068df8b4cbda7d2dba7bbb13867ee96d7cafd2e2e195c9858f5d,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/design_result.md,True,False,27731,,b832aaf61fc92ac7838c1ff7a4db1babfdf270354df54d7d6be039b2d1acfe73,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/pe_claw_backend_readback.json,True,False,694639,,3708fd528c421d9aeb4c059e49cbfce0af6e8cfe37eff80a6c6ab0d918f14fe3,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c01_nominal_full_load/runner_readback.json,True,False,57999,,9e31a9b028a5d78949155a4a3a1629756529b0c545a4dbac7964f8b250d23b98,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/design_request.md,True,False,4702,,bd27a7aa0738ea962bfb74723997cec34abb063bee51df76915975ae3ab111c1,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/design_result.md,True,False,27725,,1fde960d5e9355b0a89dd29a9eb07d54c3f577b50c4fc587642e896642b314db,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
design_requests/01_buck_diode/c02_low_input_full_load/pe_claw_backend_readback.json,True,False,772133,,70cd0c0e85528e7a9dca6291b641ed3295df5fef5a5aae7fa2e2d2be96e85b54,,False,False,,,exclude_agentic,Path belongs to the excluded AI/agentic/skills scope.
