series_key,series,package_family,source_brand,page_start,page_end,parser_type,dimension_source,esr_source,order_code_policy,geometry_status,loss_model_status,registration_scope,blocked_reason
MVE_smd,MVE,smd,Nippon Chemi-Con,105,107,tandelta_table,size_code_dimension_join,tandelta_derived,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZT_smd,MZT,smd,Nippon Chemi-Con,108,109,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZS_smd,MZS,smd,Nippon Chemi-Con,110,111,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZL_smd,MZL,smd,Nippon Chemi-Con,112,113,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZR_smd,MZR,smd,Nippon Chemi-Con,114,115,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZJ_smd,MZJ,smd,Nippon Chemi-Con,116,117,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZA_smd,MZA,smd,Nippon Chemi-Con,118,119,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MVY_smd,MVY,smd,Nippon Chemi-Con,120,121,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZF_smd,MZF,smd,Nippon Chemi-Con,122,122,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZE_smd,MZE,smd,Nippon Chemi-Con,123,123,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MZK_smd,MZK,smd,Nippon Chemi-Con,124,125,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MLA_smd,MLA,smd,Nippon Chemi-Con,126,127,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MLF_smd,MLF,smd,Nippon Chemi-Con,128,128,tandelta_table,size_code_dimension_join,tandelta_derived,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MLE_smd,MLE,smd,Nippon Chemi-Con,129,129,tandelta_table,size_code_dimension_join,tandelta_derived,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MLK_smd,MLK,smd,Nippon Chemi-Con,130,130,tandelta_table,size_code_dimension_join,tandelta_derived,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MVL_smd,MVL,smd,Nippon Chemi-Con,131,131,tandelta_table,size_code_dimension_join,tandelta_derived,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MHU_smd,MHU,smd,Nippon Chemi-Con,132,133,direct_esr_table,size_code_dimension_join,direct_esr,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MHS_smd,MHS,smd,Nippon Chemi-Con,134,135,direct_esr_table,size_code_dimension_join,direct_esr,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MVH_smd,MVH,smd,Nippon Chemi-Con,136,138,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MHL_smd,MHL,smd,Nippon Chemi-Con,138,139,direct_esr_table,size_code_dimension_join,direct_esr,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MHB_smd,MHB,smd,Nippon Chemi-Con,140,141,direct_esr_table,size_code_dimension_join,direct_esr,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MHJ_smd,MHJ,smd,Nippon Chemi-Con,142,143,direct_esr_table,size_code_dimension_join,direct_esr,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MHK_smd,MHK,smd,Nippon Chemi-Con,144,144,direct_esr_table,size_code_dimension_join,direct_esr,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
MXB_smd,MXB,smd,Nippon Chemi-Con,145,146,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,real_or_placeholder_order_code,geometry_ready,loss_ready,audit_ready,
SRG_radial,SRG,radial,Nippon Chemi-Con,148,149,tandelta_table,case_size_dxL_table,tandelta_derived,real_order_code,geometry_ready,loss_ready,audit_ready,
KRG_radial,KRG,radial,Nippon Chemi-Con,150,151,tandelta_table,case_size_dxL_table,tandelta_derived,real_order_code,geometry_ready,loss_ready,audit_ready,
KMQ_radial,KMQ,radial,Nippon Chemi-Con,152,153,tandelta_table,case_size_dxL_table,tandelta_derived,real_order_code,geometry_ready,loss_ready,audit_ready,
KZN_radial,KZN,radial,Nippon Chemi-Con,154,156,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KZM_radial,KZM,radial,Nippon Chemi-Con,157,159,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KZH_radial,KZH,radial,Nippon Chemi-Con,160,161,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KZE_radial,KZE,radial,Nippon Chemi-Con,162,163,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KYC_radial,KYC,radial,Nippon Chemi-Con,164,165,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KYB_radial,KYB,radial,Nippon Chemi-Con,166,168,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KYA_radial,KYA,radial,Nippon Chemi-Con,169,170,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
KY_radial,KY,radial,Nippon Chemi-Con,171,173,impedance_as_esr_table,case_size_dxL_table,impedance_proxy,real_order_code,geometry_ready,loss_ready,audit_ready,
