series_key,series,package_family,source_brand,pdf_filename,page_start,page_end,parser_type,dimension_source,esr_source,has_standard_table,has_dimensions,has_ripple_current,has_tan_delta,has_direct_esr,has_part_number,has_loss_basis,estimated_parseable_rows,order_code_policy,geometry_status,loss_model_status,registration_scope,blocked_reason
SGV_smd,SGV,smd,Rubycon,aluminum-catalog.pdf,23,24,tandelta_table,size_code_dimension_join,tandelta_derived,true,true,true,true,false,true,true,106,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TAV_smd,TAV,smd,Rubycon,aluminum-catalog.pdf,25,25,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,4,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TGV_smd,TGV,smd,Rubycon,aluminum-catalog.pdf,26,27,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,51,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
THV_smd,THV,smd,Rubycon,aluminum-catalog.pdf,28,28,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,28,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TKV_smd,TKV,smd,Rubycon,aluminum-catalog.pdf,29,30,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,39,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TLV_smd,TLV,smd,Rubycon,aluminum-catalog.pdf,31,32,tandelta_table,size_code_dimension_join,tandelta_derived,true,true,true,true,false,true,true,82,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TNV_smd,TNV,smd,Rubycon,aluminum-catalog.pdf,33,33,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,10,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TPV_smd,TPV,smd,Rubycon,aluminum-catalog.pdf,34,35,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,33,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TRV_smd,TRV,smd,Rubycon,aluminum-catalog.pdf,36,37,tandelta_table,size_code_dimension_join,tandelta_derived,true,true,true,true,false,true,true,55,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TSV_smd,TSV,smd,Rubycon,aluminum-catalog.pdf,38,39,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,16,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TXV_smd,TXV,smd,Rubycon,aluminum-catalog.pdf,40,40,direct_esr_table,size_code_dimension_join,direct_esr,true,true,true,true,true,true,true,19,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
TZV_smd,TZV,smd,Rubycon,aluminum-catalog.pdf,41,42,tandelta_table,size_code_dimension_join,tandelta_derived,true,true,true,true,false,true,true,53,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
AX_radial,AX,radial,Rubycon,aluminum-catalog.pdf,43,44,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,53,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
BXG_radial,BXG,radial,Rubycon,aluminum-catalog.pdf,45,46,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,70,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HBX_radial,HBX,radial,Rubycon,aluminum-catalog.pdf,47,48,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,21,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HCX_radial,HCX,radial,Rubycon,aluminum-catalog.pdf,49,50,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,15,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
HGX_radial,HGX,radial,Rubycon,aluminum-catalog.pdf,51,53,direct_esr_table,case_size_dxL_table,direct_esr,true,true,true,true,true,true,true,72,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
JXF_radial,JXF,radial,Rubycon,aluminum-catalog.pdf,54,56,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,84,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
LEX_radial,LEX,radial,Rubycon,aluminum-catalog.pdf,57,58,tandelta_table,case_size_dxL_table,tandelta_derived,true,true,true,true,false,true,true,56,catalog_part_number_rule,geometry_ready,loss_ready,audit_ready,
