"pdf_filename","series_pair","rated_voltage_V","capacitance_uF","diameter_mm","length_mm","ordering_code_template","esr_value_1_header","esr_value_1_raw","esr_value_2_header","esr_value_2_raw","esr_raw_values","impedance_value_1_header","impedance_value_1_raw","impedance_raw_values","ripple_value_1_header","ripple_value_1_raw","ripple_value_2_header","ripple_value_2_raw","ripple_value_3_header","ripple_value_3_raw","ripple_raw_values","table_header_context","raw_electrical_values","raw_row_text","parse_status","parse_warning"
"B41456_B41458.pdf","B41456/B41458","16","100000","51.6","80.7","B4145*B4100M60#","ESRtyp 100 Hz 20 C mOhm","5.0","ESRmax 100 Hz 20 C mOhm","10","ESRtyp 100 Hz 20 C mOhm=5.0; ESRmax 100 Hz 20 C mOhm=10","Zmax 10 kHz 20 C mOhm","8.2","Zmax 10 kHz 20 C mOhm=8.2","IAC,max 100 Hz 40 C A","34","IAC,R 100 Hz 85 C A","14","","","IAC,max 100 Hz 40 C A=34; IAC,R 100 Hz 85 C A=14","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","5.0;10;8.2;34;14","100000 51.6 x 80.7 5.0 10 8.2 34 14 B4145*B4100M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","16","150000","51.6","80.7","B4145*B4150M60#","ESRtyp 100 Hz 20 C mOhm","4.2","ESRmax 100 Hz 20 C mOhm","8.4","ESRtyp 100 Hz 20 C mOhm=4.2; ESRmax 100 Hz 20 C mOhm=8.4","Zmax 10 kHz 20 C mOhm","6.8","Zmax 10 kHz 20 C mOhm=6.8","IAC,max 100 Hz 40 C A","34","IAC,R 100 Hz 85 C A","15","","","IAC,max 100 Hz 40 C A=34; IAC,R 100 Hz 85 C A=15","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","4.2;8.4;6.8;34;15","150000 51.6 x 80.7 4.2 8.4 6.8 34 15 B4145*B4150M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","16","220000","64.3","105.7","B4145*B4220M60#","ESRtyp 100 Hz 20 C mOhm","3.7","ESRmax 100 Hz 20 C mOhm","7.3","ESRtyp 100 Hz 20 C mOhm=3.7; ESRmax 100 Hz 20 C mOhm=7.3","Zmax 10 kHz 20 C mOhm","5.9","Zmax 10 kHz 20 C mOhm=5.9","IAC,max 100 Hz 40 C A","45","IAC,R 100 Hz 85 C A","20","","","IAC,max 100 Hz 40 C A=45; IAC,R 100 Hz 85 C A=20","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","3.7;7.3;5.9;45;20","220000 64.3 x 105.7 3.7 7.3 5.9 45 20 B4145*B4220M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","16","330000","64.3","105.7","B4145*B4330M60#","ESRtyp 100 Hz 20 C mOhm","3.3","ESRmax 100 Hz 20 C mOhm","6.6","ESRtyp 100 Hz 20 C mOhm=3.3; ESRmax 100 Hz 20 C mOhm=6.6","Zmax 10 kHz 20 C mOhm","5.3","Zmax 10 kHz 20 C mOhm=5.3","IAC,max 100 Hz 40 C A","45","IAC,R 100 Hz 85 C A","21","","","IAC,max 100 Hz 40 C A=45; IAC,R 100 Hz 85 C A=21","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","3.3;6.6;5.3;45;21","330000 64.3 x 105.7 3.3 6.6 5.3 45 21 B4145*B4330M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","16","470000","76.9","143.2","B4145*B4470M60#","ESRtyp 100 Hz 20 C mOhm","3.0","ESRmax 100 Hz 20 C mOhm","6.1","ESRtyp 100 Hz 20 C mOhm=3.0; ESRmax 100 Hz 20 C mOhm=6.1","Zmax 10 kHz 20 C mOhm","4.9","Zmax 10 kHz 20 C mOhm=4.9","IAC,max 100 Hz 40 C A","57","IAC,R 100 Hz 85 C A","25","","","IAC,max 100 Hz 40 C A=57; IAC,R 100 Hz 85 C A=25","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","3.0;6.1;4.9;57;25","470000 76.9 x 143.2 3.0 6.1 4.9 57 25 B4145*B4470M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","16","680000","76.9","143.2","B4145*B4680M60#","ESRtyp 100 Hz 20 C mOhm","3.0","ESRmax 100 Hz 20 C mOhm","5.8","ESRtyp 100 Hz 20 C mOhm=3.0; ESRmax 100 Hz 20 C mOhm=5.8","Zmax 10 kHz 20 C mOhm","4.6","Zmax 10 kHz 20 C mOhm=4.6","IAC,max 100 Hz 40 C A","57","IAC,R 100 Hz 85 C A","26","","","IAC,max 100 Hz 40 C A=57; IAC,R 100 Hz 85 C A=26","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","3.0;5.8;4.6;57;26","680000 76.9 x 143.2 3.0 5.8 4.6 57 26 B4145*B4680M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","25","68000","51.6","80.7","B4145*B5689M60#","ESRtyp 100 Hz 20 C mOhm","6.0","ESRmax 100 Hz 20 C mOhm","12","ESRtyp 100 Hz 20 C mOhm=6.0; ESRmax 100 Hz 20 C mOhm=12","Zmax 10 kHz 20 C mOhm","9.3","Zmax 10 kHz 20 C mOhm=9.3","IAC,max 100 Hz 40 C A","34","IAC,R 100 Hz 85 C A","13","","","IAC,max 100 Hz 40 C A=34; IAC,R 100 Hz 85 C A=13","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","6.0;12;9.3;34;13","68000 51.6 x 80.7 6.0 12 9.3 34 13 B4145*B5689M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","25","100000","51.6","105.7","B4145*B5100M60#","ESRtyp 100 Hz 20 C mOhm","5.0","ESRmax 100 Hz 20 C mOhm","9.5","ESRtyp 100 Hz 20 C mOhm=5.0; ESRmax 100 Hz 20 C mOhm=9.5","Zmax 10 kHz 20 C mOhm","7.6","Zmax 10 kHz 20 C mOhm=7.6","IAC,max 100 Hz 40 C A","34","IAC,R 100 Hz 85 C A","16","","","IAC,max 100 Hz 40 C A=34; IAC,R 100 Hz 85 C A=16","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","5.0;9.5;7.6;34;16","100000 51.6 x 105.7 5.0 9.5 7.6 34 16 B4145*B5100M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","25","150000","64.3","105.7","B4145*B5150M60#","ESRtyp 100 Hz 20 C mOhm","4.0","ESRmax 100 Hz 20 C mOhm","8.0","ESRtyp 100 Hz 20 C mOhm=4.0; ESRmax 100 Hz 20 C mOhm=8.0","Zmax 10 kHz 20 C mOhm","6.4","Zmax 10 kHz 20 C mOhm=6.4","IAC,max 100 Hz 40 C A","45","IAC,R 100 Hz 85 C A","20","","","IAC,max 100 Hz 40 C A=45; IAC,R 100 Hz 85 C A=20","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","4.0;8.0;6.4;45;20","150000 64.3 x 105.7 4.0 8.0 6.4 45 20 B4145*B5150M60#","parsed",""
"B41456_B41458.pdf","B41456/B41458","25","220000","64.3","105.7","B4145*B5220M60#","ESRtyp 100 Hz 20 C mOhm","3.5","ESRmax 100 Hz 20 C mOhm","7.0","ESRtyp 100 Hz 20 C mOhm=3.5; ESRmax 100 Hz 20 C mOhm=7.0","Zmax 10 kHz 20 C mOhm","5.6","Zmax 10 kHz 20 C mOhm=5.6","IAC,max 100 Hz 40 C A","45","IAC,R 100 Hz 85 C A","21","","","IAC,max 100 Hz 40 C A=45; IAC,R 100 Hz 85 C A=21","CR Case ESRtyp ESRmax Zmax IAC,max IAC,R Ordering code | 100 Hz dimensions 100 Hz 100 Hz 10 kHz 100 Hz 100 Hz (composition see | 20 C dxl 20 C 20 C 20 C 40 C 85 C below) | uF mm mOhm mOhm mOhm A A","3.5;7.0;5.6;45;21","220000 64.3 x 105.7 3.5 7.0 5.6 45 21 B4145*B5220M60#","parsed",""
