"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-014014-8","MS","MS - Sendust","14","3","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014014-8"
"MS-014026-8","MS","MS - Sendust","26","5.5","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014026-8"
"MS-014040-8","MS","MS - Sendust","40","9","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014040-8"
"MS-014060-8","MS","MS - Sendust","60","13","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014060-8"
"MS-014075-8","MS","MS - Sendust","75","16","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014075-8"
"MS-014090-8","MS","MS - Sendust","90","19","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014090-8"
"MS-014125-8","MS","MS - Sendust","125","26","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","0.54","15593","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014125-8"
"MS-014147-8","MS","MS - Sendust","147","31","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014147-8"
"MS-014160-8","MS","MS - Sendust","160","33","0.14","0.07","0.06","3.556","1.778","1.524","0.0137","0.817","0.0107","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-014160-8"
"MS-015014-8","MS","MS - Sendust","14","4","0.155","0.087","0.1","3.937","2.2098","2.54","0.0211","0.942","0.0197","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-015014-8"
