example_part,od_in,id_in,ht_in,od_mm,id_mm,ht_mm,part_count,permeabilities,ae_cm2,le_cm,ve_cm3
MS-014014-8,0.14,0.07,0.06,3.556,1.778,1.5239999999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0137,0.817,0.0107
MS-015014-8,0.155,0.087,0.1,3.937,2.2097999999999995,2.54,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0211,0.942,0.0197
MS-018014-8,0.183,0.093,0.1,4.648199999999999,2.3621999999999996,2.54,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0285,1.06,0.0302
MS-025014-8,0.25,0.11,0.11,6.35,2.794,2.794,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0476,1.36,0.0642
MS-027014-8,0.26,0.105,0.1,6.604,2.667,2.54,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0467,1.36,0.0640
MS-026014-8,0.26,0.105,0.188,6.604,2.667,4.7752,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0920,1.36,0.125
MS-028014-8,0.277,0.156,0.2,7.0358,3.9623999999999997,5.08,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0750,1.68,0.126
MS-031014-8,0.31,0.156,0.125,7.874,3.9623999999999997,3.175,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0615,1.79,0.110
MS-039014-8,0.38,0.188,0.125,9.652,4.7752,3.175,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0752,2.18,0.164
MS-038014-8,0.38,0.188,0.156,9.652,4.7752,3.9623999999999997,18,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0945,2.18,0.206
MS-040014-2,0.4,0.2,0.156,10.16,5.08,3.9623999999999997,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.100,2.38,0.238
MS-044014-2,0.44,0.25,0.156,11.176,6.35,3.9623999999999997,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.0906,2.69,0.244
MS-050014-2,0.5,0.3,0.187,12.7,7.619999999999999,4.7498,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.114,3.12,0.356
MS-050014-2H095,0.5,0.3,0.374,12.7,7.619999999999999,9.4996,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.228,3.12,0.712
MS-065014-2,0.655,0.4,0.25,16.637,10.16,6.35,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.192,4.11,0.789
MS-068014-2,0.68,0.38,0.25,17.272000000000002,9.652,6.35,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.232,4.14,0.960
MS-068014-2H127,0.68,0.38,0.5,17.272000000000002,9.652,12.7,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.464,4.14,1.92
MS-080014-2,0.8,0.5,0.25,20.32,12.7,6.35,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.226,5.09,1.15
MS-080014-2H127,0.8,0.5,0.5,20.32,12.7,12.7,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.452,5.09,2.30
MS-090014-2,0.9,0.55,0.3,22.86,13.97,7.619999999999999,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.331,5.67,1.88
MS-092014-2,0.928,0.567,0.35,23.5712,14.401799999999998,8.889999999999999,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.388,5.88,2.28
MS-107014-2,1.06,0.58,0.34,26.924,14.731999999999998,8.636000000000001,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.497,6.35,3.16
MS-106014-2,1.06,0.58,0.44,26.924,14.731999999999998,11.176,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.654,6.35,4.15
MS-108014-2,1.06,0.58,0.551,26.924,14.731999999999998,13.9954,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.819,6.35,5.20
MS-109014-2,1.06,0.58,0.709,26.924,14.731999999999998,18.008599999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.01,6.35,6.43
MS-131014-2,1.3,0.785,0.345,33.019999999999996,19.939,8.762999999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.551,8.15,4.49
MS-130014-2,1.3,0.785,0.42,33.019999999999996,19.939,10.668,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.672,8.15,5.48
MS-132014-2,1.3,0.785,0.44,33.019999999999996,19.939,11.176,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.698,8.15,5.69
MS-133014-2,1.3,0.785,0.551,33.019999999999996,19.939,13.9954,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.874,8.15,7.12
MS-134014-2,1.3,0.785,0.709,33.019999999999996,19.939,18.008599999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.10,8.15,8.98
MS-135014-2,1.35,0.92,0.35,34.29,23.368,8.889999999999999,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.454,8.95,4.06
MS-141014-2,1.41,0.88,0.412,35.81399999999999,22.352,10.464799999999999,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",0.678,8.98,6.09
MS-157014-2,1.57,0.95,0.57,39.878,24.13,14.477999999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.07,9.85,10.5
MS-159014-2,1.594,0.689,0.531,40.4876,17.5006,13.4874,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.52,9.11,13.9
